OID_;CID;lat;lon
0;3;-0.16513;-78.47881
0;3;-0.16504;-78.47926
0;3;-0.16495;-78.47971
0;4;-0.18382;-78.47383
0;4;-0.18337;-78.47372
0;4;-0.18293;-78.4736
0;4;-0.18249;-78.47349
0;4;-0.18206;-78.47336
0;4;-0.18162;-78.47323
0;4;-0.18119;-78.4731
0;4;-0.18076;-78.47297
0;4;-0.18033;-78.47284
0;4;-0.1799;-78.4727
0;4;-0.17947;-78.47255
0;4;-0.17904;-78.47241
0;4;-0.17862;-78.47226
0;4;-0.17819;-78.47212
0;4;-0.17775;-78.47197
0;4;-0.17733;-78.47183
0;4;-0.1769;-78.47168
0;4;-0.17647;-78.47154
0;4;-0.17604;-78.47139
0;4;-0.1756;-78.47125
0;4;-0.17517;-78.4711
0;4;-0.17474;-78.47096
0;4;-0.17431;-78.47081
0;4;-0.17388;-78.47067
0;4;-0.17348;-78.47069
0;4;-0.1731;-78.47094
0;4;-0.17272;-78.4712
0;4;-0.17235;-78.47146
0;4;-0.17196;-78.47173
0;4;-0.17175;-78.4721
0;4;-0.17166;-78.47255
0;4;-0.17157;-78.47299
0;4;-0.17148;-78.47344
0;4;-0.17139;-78.47388
0;4;-0.17129;-78.47432
0;4;-0.17119;-78.47477
0;4;-0.17109;-78.47522
0;4;-0.17099;-78.47566
0;4;-0.17089;-78.47611
0;4;-0.17053;-78.47623
0;4;-0.17007;-78.47624
0;4;-0.16962;-78.47625
0;4;-0.16917;-78.47622
0;4;-0.16872;-78.47614
0;4;-0.16828;-78.47607
0;4;-0.16784;-78.47599
0;4;-0.16739;-78.47591
0;4;-0.16695;-78.47583
0;4;-0.1665;-78.47575
0;4;-0.16604;-78.47567
0;4;-0.16559;-78.47559
0;4;-0.16514;-78.47551
0;4;-0.16469;-78.47544
0;5;-0.18388;-78.47388
0;5;-0.18437;-78.47395
0;5;-0.18522;-78.47444
0;5;-0.18489;-78.47487
0;5;-0.18449;-78.47517
0;5;-0.18354;-78.47538
0;5;-0.18294;-78.47522
0;5;-0.18245;-78.47511
0;5;-0.18203;-78.47514
0;5;-0.18199;-78.47558
0;5;-0.18244;-78.47576
0;5;-0.18289;-78.47591
0;5;-0.18339;-78.47615
